mojo_title,criticscore,criticcount,audiencescore,audiencecount
Premier Boxing Champions: PBC on FOX: Spence vs. Porter,77,13,6.2,9
"The Gangster, the Cop, the Devil",Link error,Link error,Link error,Link error
Friendsgiving Day #1,Link error,Link error,Link error,Link error
Canal Street,65,9,9.0,65
When Harry Met Sally...,Link error,Link error,Link error,Link error
311 Enlarged to Show Detail 3,82,13,7.5,15
Mobile Suit Gundam Narrative,Link error,Link error,Link error,Link error
Modest Heroes,60,25,6.8,75
Just Mercy,tbd,4,No score yet,N/A
One Child Nation,68,50,7.2,109
Is It Wrong to Try to Pick Up Girls in a Dungeon - Arrow of the Orion,85,25,8.2,22
The Tale of The Princess Kaguya,48,17,5.0,23
True Grit,89,28,8.6,220
Her Smell,80,41,7.7,725
I Want to Eat Your Pancreas,69,24,4.7,29
The Nutcracker and the Four Realms,Link error,Link error,Link error,Link error
Octaman,39,38,4.8,86
Slayer: The Repentless Killogy,59,31,7.4,36
Saga of Tanya the Evil - The Movie,Link error,Link error,Link error,Link error
Shakira in Concert: El Dorado World Tour,90,18,9.0,876
The Giant Spider Invasion,tbd,4,9.2,13
K-12,63,16,7.3,47
You Are Here: A Come From Away Story,42,7,5.7,6
Stockholm,36,36,4.6,22
Sword of Trust,54,18,7.8,43
Fleabag,70,21,7.1,8
The Big Fight Live: IBF Welterweight Title: Errol Spence Jr. vs. Mikey Garcia,80,20,6.2,6
Diane,70,15,7.7,34
Photograph,86,28,7.6,18
The Tomorrow Man,48,16,6.7,97
The Shawshank Redemption,49,18,6.0,6
Matthias & Maxime,80,20,9.0,1792
The Hummingbird Project,71,8,8.3,418
The Cure: Anniversary 1978-2018 Live in Hyde Park,58,26,6.1,22
The Wedding Guest,80,28,8.1,266
The Man Who Killed Don Quixote,57,25,5.4,7
Mia and the White Lion,58,25,6.8,41
The Nightingale,52,6,6.2,12
"Hello, Dolly!",67,4,No score yet,N/A
The Invisibles,78,27,7.6,39
The Reliant,60,11,No score yet,N/A
The Cold Blue,Link error,Link error,Link error,Link error
Ash Is Purest White,Link error,Link error,Link error,Link error
Fate/stay night [Heaven's Feel] II. lost butterfly,85,34,7.1,27
De De Pyaar De,38,34,5.0,149
Merci pour tout,tbd,4,No score yet,N/A
Cruel Intentions,57,24,5.5,22
Christmas Jars,56,24,8.3,340
Lawrence of Arabia,tbd,4,No score yet,N/A
Hail Satan?,100,8,8.7,356
Batla House,76,31,5.8,26
Nausicaä of the Valley of the Wind,74,50,6.8,281
Widows,75,4,8.6,21
Exit,84,57,6.9,260
Tel Aviv on Fire,Link error,Link error,Link error,Link error
Birds of Passage,70,16,No score yet,N/A
CatVideoFest,85,27,7.8,46
The Russian Five,91,38,8.9,1139
The Climbers,Link error,Link error,Link error,Link error
Wild Nights with Emily,Link error,Link error,Link error,Link error
Code Geass: Lelouch of the Re;Surrection,74,14,5.9,8
My Fair Lady,80,11,No score yet,N/A
The Public,95,15,8.3,21
Bethany Hamilton: Unstoppable,46,18,6.5,8
To Kill a Mockingbird,55,6,No score yet,N/A
The Least of These: The Graham Staines Story,88,16,8.6,71
Long Day's Journey Into Night,67,7,No score yet,N/A
The White Storm 2: Drug Lords,81,25,7.2,52
Grateful Dead Meet-Up 2019,Link error,Link error,Link error,Link error
Dirty Dancing,74,7,8.3,33
Racetime,65,20,7.6,95
The Sky Is Pink,tbd,4,No score yet,N/A
Furie,Link error,Link error,Link error,Link error
The Chaperone,Link error,Link error,Link error,Link error
Non-Fiction,33,11,6.4,7
Honeyland,78,29,6.7,19
The Game Changers,86,26,9.0,48
Raise Hell: The Life & Times of Molly Ivins,Link error,Link error,Link error,Link error
Student of the Year 2,Link error,Link error,Link error,Link error
The Captain,tbd,4,No score yet,N/A
Chonda Pierce: Unashamed,67,17,7.6,15
More Than Blue,Link error,Link error,Link error,Link error
Climax,80,22,6.4,5
Alien,67,37,7.5,136
Steel Magnolias,89,34,9.0,917
Howl's Moving Castle,56,13,8.3,13
The Fighting Preacher,78,43,7.5,72
Jesus Is King,tbd,4,No score yet,N/A
BlacKkKlansman,61,4,5.6,55
Kiki's Delivery Service,83,56,7.3,552
Perfect Strangers,82,30,6.6,38
Noah,81,24,6.4,15
Pati Patni Aur Woh,68,46,5.4,795
Between Me and My Mind,91,45,6.5,69
Princess Mononoke,82,21,6.8,5
Rush: Cinema Strangiato 2019,Link error,Link error,Link error,Link error
Bennett's War,tbd,4,No score yet,N/A
Playmobil: The Movie,44,33,6.1,267
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,86,15,8.7,128
El Coyote,80,16,6.6,13
No Safe Spaces,Link error,Link error,Link error,Link error
Ek Ladki Ko Dekha Toh Aisa Laga,31,5,9.0,21
Los Domirriqueños 2,Link error,Link error,Link error,Link error
BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,77,41,6.2,134
Pilgrim's Progress,87,53,7.6,140
1917,96,41,9.0,1787
Nothing to Lose 2,78,57,8.4,812
Destroyer,46,13,5.8,5
Kinky Boots the Musical,62,44,5.6,70
The Kid,59,32,5.9,15
Metallica & San Francisco Symphony - S&M2,45,32,6.5,33
Extreme Job,80,45,7.4,77
Never Look Away,Link error,Link error,Link error,Link error
Red Joan,68,28,7.9,36
Fantastic Fungi,45,22,4.5,21
Made for More,70,8,No score yet,N/A
The Wife,43,33,5.6,24
Wild Rose,77,36,7.3,125
The Other Side of Heaven 2: Fire of Faith,80,32,8.9,88
Pandas,Link error,Link error,Link error,Link error
Capernaum,82,6,8.0,4
Ben Is Back,75,33,8.1,84
Badla,66,39,6.9,52
After the Wedding,63,28,7.3,49
Chhichhore,78,29,7.9,53
The Wizard of Oz,72,31,7.5,39
